Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Microsoft Store	Microsoft Store	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	Microsoft.WindowsStore_8wekyb3d8bbwe	
Mixed Reality Portal	Mixed Reality Portal	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.mixedreality.portal_8wekyb3d8bbwe	
MSN Pogoda	MSN Pogoda	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.bingweather_8wekyb3d8bbwe	
Muzyka Groove	Muzyka Groove	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.zunemusic_8wekyb3d8bbwe	
Narrator	Narrator	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.narratorquickstart_8wekyb3d8bbwe	
NcsiUwpApp	NcsiUwpApp	Wszystko	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	ncsiuwpapp_8wekyb3d8bbwe	
Odnajdowanie sieci (datagram NB — ruch wychodz¹cy)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	UDP	Dowolne	138	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (datagram NB — ruch wychodz¹cy)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	138	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (datagram NB — ruch wychodz¹cy)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	138	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (nazwa NB — ruch wychodz¹cy)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	UDP	Dowolne	137	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
