Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Dane przychodz¹ce grupy domowej (PNRP)	Grupa domowa	Prywatny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3540	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instalator aplikacji	Instalator aplikacji	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.desktopappinstaller_8wekyb3d8bbwe	
Instrumentacja zarz¹dzania Windows (ruch przychodz¹cy ASync)	Instrumentacja zarz¹dzania Windows (WMI)	Domena	Nie	Zezwalaj	Nie	%systemroot%\system32\wbem\unsecapp.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instrumentacja zarz¹dzania Windows (ruch przychodz¹cy ASync)	Instrumentacja zarz¹dzania Windows (WMI)	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%systemroot%\system32\wbem\unsecapp.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instrumentacja zarz¹dzania Windows (ruch przychodz¹cy DCOM)	Instrumentacja zarz¹dzania Windows (WMI)	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instrumentacja zarz¹dzania Windows (ruch przychodz¹cy DCOM)	Instrumentacja zarz¹dzania Windows (WMI)	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instrumentacja zarz¹dzania Windows (ruch przychodz¹cy WMI)	Instrumentacja zarz¹dzania Windows (WMI)	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instrumentacja zarz¹dzania Windows (ruch przychodz¹cy WMI)	Instrumentacja zarz¹dzania Windows (WMI)	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Konto s³u¿bowe	Konto s³u¿bowe	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.aad.brokerplugin_cw5n1h2txyewy	
Koordynator transakcji rozproszonych (RPC)	Koordynator transakcji rozproszonych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Koordynator transakcji rozproszonych (RPC)	Koordynator transakcji rozproszonych	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Koordynator transakcji rozproszonych (RPC-EPMAP)	Koordynator transakcji rozproszonych	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Koordynator transakcji rozproszonych (RPC-EPMAP)	Koordynator transakcji rozproszonych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Koordynator transakcji rozproszonych (ruch przychodz¹cy TCP)	Koordynator transakcji rozproszonych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\msdtc.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Koordynator transakcji rozproszonych (ruch przychodz¹cy TCP)	Koordynator transakcji rozproszonych	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\msdtc.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Microsoft Edge	Microsoft Edge	Domena, Prywatny	Tak	Zablokuj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.microsoftedge_8wekyb3d8bbwe	
Microsoft Edge (ruch przychodz¹cy mDNS)	Microsoft Edge	Wszystko	Tak	Zablokuj	Nie	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	Dowolne	Dowolne	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Microsoft Sticky Notes	Microsoft Sticky Notes	Domena, Prywatny	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.microsoftstickynotes_8wekyb3d8bbwe	
Microsoft Store	Microsoft Store	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	Microsoft.WindowsStore_8wekyb3d8bbwe	
Monitor zdarzeñ zdalnych (RPC)	Monitor zdarzeñ zdalnych	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\NetEvtFwdr.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Monitor zdarzeñ zdalnych (RPC-EPMAP)	Monitor zdarzeñ zdalnych	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Monitorowanie maszyny wirtualnej (ruch przychodz¹cy DCOM)	Monitorowanie maszyny wirtualnej	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
