Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Zdalne zarz¹dzanie us³ugami (RPC)	Zdalne zarz¹dzanie us³ugami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\services.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie us³ugami (RPC)	Zdalne zarz¹dzanie us³ugami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\services.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie us³ugami (RPC-EPMAP)	Zdalne zarz¹dzanie us³ugami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie us³ugami (RPC-EPMAP)	Zdalne zarz¹dzanie us³ugami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie woluminami — modu³ ³aduj¹cy us³ugi dysków wirtualnych (RPC)	Zdalne zarz¹dzanie woluminami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\vdsldr.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie woluminami — modu³ ³aduj¹cy us³ugi dysków wirtualnych (RPC)	Zdalne zarz¹dzanie woluminami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\vdsldr.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie woluminami — us³uga dysków wirtualnych (RPC)	Zdalne zarz¹dzanie woluminami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\vds.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie woluminami — us³uga dysków wirtualnych (RPC)	Zdalne zarz¹dzanie woluminami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\vds.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie woluminami (RPC-EPMAP)	Zdalne zarz¹dzanie woluminami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie woluminami (RPC-EPMAP)	Zdalne zarz¹dzanie woluminami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie zaplanowanymi zadaniami (RPC)	Zdalne zarz¹dzanie zaplanowanymi zadaniami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie zaplanowanymi zadaniami (RPC)	Zdalne zarz¹dzanie zaplanowanymi zadaniami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie zaplanowanymi zadaniami (RPC-EPMAP)	Zdalne zarz¹dzanie zaplanowanymi zadaniami	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie zaplanowanymi zadaniami (RPC-EPMAP)	Zdalne zarz¹dzanie zaplanowanymi zadaniami	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie Zapor¹ Windows Defender (RPC)	Zdalne zarz¹dzanie Zapor¹ Windows Defender	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie Zapor¹ Windows Defender (RPC)	Zdalne zarz¹dzanie Zapor¹ Windows Defender	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dynamiczne porty RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie Zapor¹ Windows Defender (RPC-EPMAP)	Zdalne zarz¹dzanie Zapor¹ Windows Defender	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdalne zarz¹dzanie Zapor¹ Windows Defender (RPC-EPMAP)	Zdalne zarz¹dzanie Zapor¹ Windows Defender	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Program mapowania punktów koñcowych wywo³añ RPC	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zdjêcia Microsoft	Zdjêcia Microsoft	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.photos_8wekyb3d8bbwe	
